slenderflower thistle	Carduus tenuiflorus W. Curtis	69	Forbs/Herbs
Japanese sedge	Carex kobomugi Ohwi	17	Grass or Grasslike
Long's sedge	Carex longii Mackenzie	355	Grass or Grasslike
hanging sedge	Carex pendula Huds.	5	Grass or Grasslike
papaya	Carica papaya L.	25	Hardwood Trees
natal-plum	Carissa macrocarpa (Ecklon) A. DC.	10	Shrub or Subshrub
carline thistle	Carlina vulgaris L.	3	Forbs/Herbs
sea fig	Carpobrotus chilensis (Molina) N.E. Br.	18	Forbs/Herbs
hottentot fig	Carpobrotus edulis (L.) N.E. Br	23	Shrub or Subshrub
woolly distaff thistle	Carthamus lanatus L.	40	Forbs/Herbs
Panama rubbertree	Castilla elastica Sessé	0	Hardwood Trees
field Indian paintbrush	Castilleja arvensis Cham. & Schlecht	4	Forbs/Herbs
river sheoak	Casuarina cunninghamiana Miq.	17	Hardwood Trees
Australian-pine	Casuarina equisetifolia L.	45	Hardwood Trees
gray sheoak	Casuarina glauca Sieb. ex Spreng	27	Hardwood Trees
southern catalpa	Catalpa bignonioides Walt.	608	Hardwood Trees
Chinese catalpa	Catalpa ovata G. Don	42	Hardwood Trees
northern catalpa	Catalpa speciosa (Warder) Warder ex Engelm.	713	Hardwood Trees
Madagascar periwinkle	Catharanthus roseus (L.) G. Don	52	Shrub or Subshrub
Mediterranean clone of caulerpa	Caulerpa taxifolia (Vahl) C. Agardth	2	Aquatic Plants
bushkiller	Cayratia japonica (Thunb.) Gagnepain	21	Vines
trumpet-tree	Cecropia obtusifolia Bertol.	3	Hardwood Trees
trumpet tree	Cecropia palmata Willd.	2	Hardwood Trees
Deodar cedar	Cedrus deodara (Roxb. ex D. Don) G. Don f.	7	Conifer Trees
oriental bittersweet	Celastrus orbiculatus Thunb.	590	Vines
Cenchrus ciliare L.	0	Grass or Grasslike
southern sandbur	Cenchrus echinatus L.	203	Grass or Grasslike
longspine sandbur	Cenchrus longispinus (Hack.) Fern	1168	Grass or Grasslike
crimson fountaingrass	Cenchrus setaceus (Forssk.) Morrone	1	Grass or Grasslike
purple starthistle	Centaurea calcitrapa L.	81	Forbs/Herbs
cornflower	Centaurea cyanus L.	674	Forbs/Herbs
meadow knapweed	Centaurea debeauxii Gren. & Godr. [excluded]	15	Forbs/Herbs
diffuse knapweed	Centaurea diffusa Lam.	328	Forbs/Herbs
brown knapweed	Centaurea jacea L.	252	Forbs/Herbs
bighead knapweed	Centaurea macrocephala Puschk. ex Willd.	32	Forbs/Herbs
Malta starthistle	Centaurea melitensis L.	166	Forbs/Herbs
black knapweed	Centaurea nigra L.	217	Forbs/Herbs
alpine knapweed	Centaurea nigrescens Willd	235	Forbs/Herbs
yellow starthistle	Centaurea solstitialis L.	339	Forbs/Herbs
knapweeds	Centaurea spp. L.	28	Forbs/Herbs
spotted knapweed	Centaurea stoebe ssp. micranthos (Gugler) Hayek	1191	Forbs/Herbs
squarrose knapweed	Centaurea virgata Lam.	48	Forbs/Herbs
meadow knapweed	Centaurea x moncktonii C. E. Britton[C. jacea X C. nigra]	45	Forbs/Herbs
European centaury	Centaurium erythraea Rafn	92	Forbs/Herbs
Asiatic pennywort	Centella asiatica (L.) Urban	4	Forbs/Herbs
red valerian	Centranthus ruber (L.) DC.	40	Forbs/Herbs
common mouse-ear chickweed	Cerastium fontanum Baumg.	1428	Forbs/Herbs
big chickweed	Cerastium fontanum ssp. vulgare (Hartman) Greuter & Burdet	1440	Forbs/Herbs
boreal chickweed	Cerastium tomentosum L.	61	Forbs/Herbs
bur buttercup	Ceratocephala testiculata (Crantz) Bess.	226	Forbs/Herbs
day jessamine	Cestrum diurnum L.	14	Hardwood Trees
night jessamine	Cestrum nocturnum L.	23	Hardwood Trees
sensitive partridgepea	Chamaecrista nictitans (L.) Moench	1042	Forbs/Herbs
Port Orford cedar	Chamaecyparis lawsoniana (A. Murr.) Parl.	30	Conifer Trees
Seifriz's chamaedorea	Chamaedorea seifrizii Burret	3	Hardwood Trees
garden spurge	Chamaesyce hirta (L.) Millsp.	117	Forbs/Herbs
greater celandine	Chelidonium majus L.	409	Forbs/Herbs
lambsquarters	Chenopodium album L	1958	Forbs/Herbs
nettleleaf goosefoot	Chenopodium murale L.	269	Forbs/Herbs
giantseed goosefoot	Chenopodium simplex (Torr.) Raf.	912	Forbs/Herbs
swollen fingergrass	Chloris barbata Sw.	14	Grass or Grasslike
rush skeletonweed	Chondrilla juncea L.	224	Forbs/Herbs
blue mustard	Chorispora tenella (Pallas) DC.	408	Forbs/Herbs
satinleaf	Chrysophyllum oliviforme L.	17	Hardwood Trees
chicory	Cichorium intybus L.	1394	Forbs/Herbs
quinine	Cinchona pubescens Vahl	2	Hardwood Trees
padang cassia	Cinnamomum burmannii (Nees & Th. Nees) Nees ex Blume	4	Hardwood Trees
camphortree	Cinnamomum camphora (L.) J. Presl	141	Hardwood Trees
Canada thistle	Cirsium arvense (L.) Scop.	1515	Forbs/Herbs
bull thistle	Cirsium vulgare (Savi) Ten.	1741	Forbs/Herbs
rock rose	Cistus creticus L.	12	Shrub or Subshrub
juniper berry	Citharexylum caudatum L.	4	Hardwood Trees
spiny fiddlewood	Citharexylum spinosum L.	9	Hardwood Trees
colocynth	Citrullus colocynthis (L.) Schrad.	1	Vines
trifoliate orange	Citrus trifoliata (L.) Raf.	250	Hardwood Trees
lime	Citrus x aurantiifolia (Christm.) Swingle	5	Hardwood Trees
sour orange	Citrus x aurantium L. (pro sp.) [maxima × reticulata]	49	Hardwood Trees
lemon	Citrus x limon (L.) Burm.	7	Hardwood Trees
orange	Citrus x sinensis (L.) Osbeck (pro sp.) [maxima × reticulata]	11	Hardwood Trees
oriental virginsbower	Clematis orientalis L.	25	Vines
sweet autumn virginsbower	Clematis terniflora DC	431	Vines
evergreen clematis	Clematis vitalba L.	40	Vines
rose glorybower	Clerodendrum bungei Steud.	35	Hardwood Trees
stickbush	Clerodendrum chinense (Osb.) Mabberley	14	Hardwood Trees
turk's turbin	Clerodendrum indicum (L.) Kuntze	71	Shrub or Subshrub
Japanese glorybower	Clerodendrum japonicum (Thunb.) Sweet	0	Shrub or Subshrub
Javanese glorybower	Clerodendrum speciosissimum Van Geert ex Morr.	12	Hardwood Trees
soapbush	Clidemia hirta (L.) D. Don	4	Shrub or Subshrub
wild basil	Clinopodium vulgare L.	0	Forbs/Herbs
ivy gourd	Coccinia grandis (L.) Voigt	8	Vines
coconut palm	Cocos nucifera Linnaeus	6	Palms
Arabian coffee	Coffea arabica L.	4	Hardwood Trees
star-mustard	Coincya monensis (L.) Greuter & Burdet	49	Forbs/Herbs
Job's tears	Coix lacryma-jobi L.	23	Grass or Grasslike
coco yam, wild taro	Colocasia esculenta (L.) Schott	188	Forbs/Herbs
Asian nakedwood	Colubrina asiatica (L.) Brongn.	13	Hardwood Trees
bladder senna	Colutea arborescens L.	48	Hardwood Trees
Benghal dayflower	Commelina benghalensis L.	33	Forbs/Herbs
Asiatic dayflower	Commelina communis L.	1156	Forbs/Herbs
narrow-leaved iceplant	Conicosia pugioniformis (L.) N.E. Br	5	Shrub or Subshrub
poison-hemlock	Conium maculatum L.	1225	Forbs/Herbs
lily of the valley	Convallaria majalis L.	371	Forbs/Herbs
field bindweed	Convolvulus arvensis L.	1698	Vines
